"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Senate Coalitions.nlogo"
"cloture thresholds and obstruction costs"
"06/04/2024 05:27:01:709 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"alpha-above-cloture","dwnom1-emphasis","minority-floor-time-costs","prop-debate-costs","alpha","position-taking-benefits","cloture-threshold","obst-debate-costs","majority-floor-time-costs","obsts-to-block-vote","[step]","(mean) mean passing-coalitions","(std) mean passing-coalitions","(mean) mean minority-supports","(std) mean minority-supports"
"0.1","90","0.01","0.01","0.25","1","51","0.01","0.05","3","2000","76.06157193657766","0.18407448822524858","64.13360370806068","0.44464275769156353"
"0.1","90","0.01","0.01","0.25","1","51","0.02","0.05","3","2000","75.95178973949338","0.840396499655728","64.17236526609413","1.62323235716709"
"0.1","90","0.01","0.01","0.25","1","51","0.05","0.05","3","2000","76.18057925557838","0.7846226489571231","63.54486586258262","0.9864975324987432"
"0.1","90","0.01","0.01","0.25","1","51","0.1","0.05","3","2000","75.94296806160862","0.48893557200677734","63.79754188328063","0.9441162404157204"
"0.1","90","0.01","0.01","0.25","1","60","0.01","0.05","3","2000","84.78205909702308","0.6326237839871901","82.19781888626743","1.096758841407575"
"0.1","90","0.01","0.01","0.25","1","60","0.02","0.05","3","2000","84.89850398055745","0.39481265303555785","81.47397856677313","0.8335677350584636"
"0.1","90","0.01","0.01","0.25","1","60","0.05","0.05","3","2000","84.30794450312081","0.21481186985603057","81.34376651068216","0.9200055248563139"
"0.1","90","0.01","0.01","0.25","1","60","0.1","0.05","3","2000","81.7728724130912","0.1651104194880625","73.78331338213923","0.9330402009425192"
"0.1","90","0.01","0.01","0.25","1","67","0.01","0.05","3","2000","86.99736529312815","0.4809735565344882","85.35300181733695","0.6336305442279201"
"0.1","90","0.01","0.01","0.25","1","67","0.02","0.05","3","2000","86.98628878289341","0.42582150784600203","85.41131103264196","0.3455549072382903"
"0.1","90","0.01","0.01","0.25","1","67","0.05","0.05","3","2000","85.84167575475189","0.4075497593447499","82.66150803015677","0.8169562772859754"
"0.1","90","0.01","0.01","0.25","1","67","0.1","0.05","3","2000","82.12128538957244","0.7352145665941227","73.128828194229","1.3485615751717326"
"0.1","90","0.01","0.01","0.25","1","100","0.01","0.05","3","2000","91.62605316868789","0.31493521404380853","90.42666169639685","0.3759283344487879"
"0.1","90","0.01","0.01","0.25","1","100","0.02","0.05","3","2000","91.72142850258986","0.1529650414429658","90.04881973022357","0.30174497037910003"
"0.1","90","0.01","0.01","0.25","1","100","0.05","0.05","3","2000","82.79928978676625","0.6348758392332362","75.81551243846626","1.791815092331417"
"0.1","90","0.01","0.01","0.25","1","100","0.1","0.05","3","2000","78.1698269645797","0.6732632978377456","68.11437160171269","1.754583363824663"
