[run number],alpha-above-cloture,dwnom1-emphasis,minority-floor-time-costs,prop-debate-costs,alpha,position-taking-benefits,cloture-threshold,obst-debate-costs,majority-floor-time-costs,obsts-to-block-vote,[step],mean passing-coalitions,mean minority-supports
6,0.1,90,0.01,0.01,0.25,1,51,0.02,0.05,3,2000,75.69213973799130,64.92547940003790
5,0.1,90,0.01,0.01,0.25,1,51,0.01,0.05,3,2000,76.41386782231850,64.65683734514100
1,0.1,90,0.01,0.01,0.25,1,51,0.01,0.05,3,2000,76.00645161290320,63.45021037868160
4,0.1,90,0.01,0.01,0.25,1,51,0.01,0.05,3,2000,76.0120879120879,64.27138079311990
3,0.1,90,0.01,0.01,0.25,1,51,0.01,0.05,3,2000,76.00533617929560,63.80678390793920
2,0.1,90,0.01,0.01,0.25,1,51,0.01,0.05,3,2000,75.870116156283,64.4828061154217
7,0.1,90,0.01,0.01,0.25,1,51,0.02,0.05,3,2000,75.96376811594200,63.92564587271590
9,0.1,90,0.01,0.01,0.25,1,51,0.02,0.05,3,2000,74.68426724137930,61.155359820090000
8,0.1,90,0.01,0.01,0.25,1,51,0.02,0.05,3,2000,76.11388286334060,65.04527020654520
11,0.1,90,0.01,0.01,0.25,1,51,0.05,0.05,3,2000,75.48824786324790,63.52192493496830
10,0.1,90,0.01,0.01,0.25,1,51,0.02,0.05,3,2000,77.30489073881370,65.81007103108170
12,0.1,90,0.01,0.01,0.25,1,51,0.05,0.05,3,2000,76.43266171792150,63.70049333763650
13,0.1,90,0.01,0.01,0.25,1,51,0.05,0.05,3,2000,77.60643015521070,65.28969439892020
14,0.1,90,0.01,0.01,0.25,1,51,0.05,0.05,3,2000,75.59684210526320,62.73684210526310
15,0.1,90,0.01,0.01,0.25,1,51,0.05,0.05,3,2000,75.77871443624870,62.4753745361249
17,0.1,90,0.01,0.01,0.25,1,51,0.1,0.05,3,2000,75.40705128205130,63.97946859903380
16,0.1,90,0.01,0.01,0.25,1,51,0.1,0.05,3,2000,75.96030042918450,63.598619145363000
18,0.1,90,0.01,0.01,0.25,1,51,0.1,0.05,3,2000,75.5752688172043,62.316503038803200
19,0.1,90,0.01,0.01,0.25,1,51,0.1,0.05,3,2000,75.95031712473570,63.8156080522106
20,0.1,90,0.01,0.01,0.25,1,51,0.1,0.05,3,2000,76.82190265486730,65.27751058099260
21,0.1,90,0.01,0.01,0.25,1,60,0.01,0.05,3,2000,85.86003110419910,83.76834133477570
22,0.1,90,0.01,0.01,0.25,1,60,0.01,0.05,3,2000,84.98396501457730,81.89250855621740
23,0.1,90,0.01,0.01,0.25,1,60,0.01,0.05,3,2000,84.56709956709960,83.15138967312870
24,0.1,90,0.01,0.01,0.25,1,60,0.01,0.05,3,2000,84.55377207062600,81.2931816595714
25,0.1,90,0.01,0.01,0.25,1,60,0.01,0.05,3,2000,83.94542772861360,80.88367320764380
26,0.1,90,0.01,0.01,0.25,1,60,0.02,0.05,3,2000,84.79936808846760,79.87155711243890
