last,first,state,cabc,caic,cbill,claw,cpass,sabc,saic,sbill,slaw,spass,ssabc,ssaic,ssbill,sslaw,sspass,congress,cgnum,icpsr,year,dem,majority,elected,female,afam,latino,votepct,dwnom1,chair,subchr,seniority,state_leg,state_leg_prof,maj_leader,min_leader,allbill,allaic,allabc,allpass,alllaw,les,lagles,meddist,power,up_for_reelection,freshman,majparty_dist,deleg_size,benchmark,expectation,cong_icpsr,icpsr_2,name,party,count_co_by_mem_sn,count_spon_by_mem_sn,count_dem_co_sn,count_rep_co_sn,count_spon_cosponsored_SN,mean_cospon_spon_SN,mean_pct_cospon_opp_spon_SN,count_opposing_co_spon_sn,cong,cong_icpsr_2,count_co_by_mem_sn_nc,count_spon_by_mem_sn_nc,count_dem_co_sn_nc,count_rep_co_sn_nc,count_spon_cosponsored_SN_nc,mean_cospon_spon_SN_nc,mean_pct_cospon_opp_spon_SN_nc,count_opposing_co_spon_sn_nc,mean_prop_cospon_opp_spon_SN_ss,prop_co_bipart_ss,votepct_sq,perc_co_bipart,mean_prop_cospon_opp_spon_SN,prop_co_bipart,pct_aic,pct_abc,pct_pass,pct_law,gridlock,post1994,bipart_sq,prop_spon_bi_cospon,prop_spon_bi_cospon_all,count_spon_no_cospon,prop_spon_no_cospon,mean_prop_cospon_opp_spon_SN_nc,perc_co_bipart_nc,prop_co_bipart_nc,normbipart,time,majsize,majmargin,demmd,repmd,ptydiff,normptydiff,normvotepct,nonclaw
Gravel,Mike,AK,0,0,17,0,0,2,0,48,0,1,1,0,1,0,0,93,38,12105,1972,1,1,1968,0,0,0,45,-0.2879999876022339,0,1,3,1,0.3199999928474426,0,0,66,0,3,1,0,0.4876273572444916,NA,0.16199998557567596,1,1,0,0.02550881169736385,1,0.9429451823234558,2,93.12105,12105,298,100,207,66,127,74,14,3,50.6944444444444,10,93,93.12105,204,49,127,71,13,3.15384615384615,46.9017094017094,9,NA,0.0465116279069767,2025,35.74879,0.5069444,0.35748792,0,4.5454545,33.333332,0,100,0,0.25699264,0.71428573,0.15151516,52,0.7878788,0.4690171,34.80392,0.3480392,0.6154844,0,58,8,-0.332,0.26,0.592,-0.8384294,-1.5629927,0
Stevens,Ted,AK,0,0,9,0,0,6,0,71,3,6,0,0,0,0,0,93,92,12109,1972,0,0,1968,0,0,0,77,0.15299999713897705,0,0,3,1,0.3199999928474426,0,0,80,0,6,6,3,1.059228539466858,NA,0.2789999842643738,1,0,0,0.46650880575180054,1,0.4174612760543823,3,93.12109,12109,666,200,134,80,79,51,34,1.44117647058824,85.7843137254902,31,93,93.12109,133,71,78,51,32,1.46875,84.8958333333333,29,NA,0.818181818181818,5929,58.955223,0.85784316,0.5895522,0,7.5,100,50,96.25,0,0.73589486,0.9117647,0.3875,46,0.575,0.8489583,58.646618,0.5864662,2.3505154,0,58,8,-0.332,0.26,0.592,-0.8384294,1.8285344,3
Allen,James,AL,0,0,5,0,0,2,0,14,0,1,0,0,2,0,0,93,3,12100,1972,1,1,1968,0,0,0,70,0.06700000166893005,0,1,3,1,0.08500000089406967,0,0,21,0,2,1,0,0.21411879360675812,NA,0.193000003695488,0,1,0,0.38050881028175354,7,0.9429451823234558,1,93.121,12100,15,100,64,21,45,18,15,3.33333333333333,18.6969696969697,5,93,93.121,60,16,43,16,14,3.5,20.0324675324675,5,0.6,0.277777777777778,4900,28.125,0.1869697,0.28125,0,9.523809,50,0,100,0,0.034957666,0.33333334,0.23809524,6,0.2857143,0.20032467,26.666666,0.26666665,-0.9666417,0,58,8,-0.332,0.26,0.592,-0.8384294,1.0866379,0
Sparkman,John,AL,1,0,23,0,1,7,0,62,0,7,14,0,19,9,11,93,89,8764,1972,1,1,1946,0,0,0,62,-0.12300000339746477,1,1,14,0,0,0,0,104,0,22,19,9,4.034330368041992,NA,0.00299999699927866,1,0,0,0.19050879776477816,7,2.523600816726685,3,93.8764,8764,651,100,75,103,57,15,56,2.125,64.8635307781649,43,93,93.8764,74,80,56,15,55,2.14545454545455,66.0428677014043,43,0.897435897435897,0.2,3844,20,0.6486353,0.2,0,21.153847,86.36364,47.36842,91.34615,0,0.4207278,0.76785713,0.41747573,47,0.4563107,0.6604287,20.27027,0.2027027,1.31608,0,58,8,-0.332,0.26,0.592,-0.8384294,0.23875608,9
Fulbright,James,AR,0,0,0,0,0,9,0,31,3,8,7,0,8,5,6,93,36,3388,1972,1,1,1944,0,0,0,59,-0.7080000042915344,0,1,15,0,0,0,0,39,0,16,14,8,2.6245357990264893,NA,0.5820000171661377,1,1,0,0.39449119567871094,4,1.4670429229736328,3,93.3388,3388,264,100,57,39,43,11,9,3.55555555555556,43.6507936507937,6,93,93.3388,57,39,43,11,9,3.55555555555556,43.6507936507937,6,0.428571428571429,0.0869565217391304,3481,19.298246,0.43650794,0.19298247,0,41.025642,87.5,57.142857,79.48718,0,0.19053918,0.6666667,0.15384616,30,0.7692308,0.43650794,19.298246,0.19298247,0.26720878,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.079199575,8
McClellan,John,AR,0,0,3,0,0,3,0,20,1,2,8,0,10,2,7,93,63,6151,1972,1,1,1942,0,0,0,61,0.02700000070035457,1,1,16,0,0,0,0,33,0,11,9,3,1.7551454305648804,NA,0.15299999713897705,1,0,0,0.3405087888240814,4,2.610950469970703,2,93.6151,6151,473,100,47,33,29,17,15,3.8,53.6666666666667,10,93,93.6151,47,30,29,17,15,3.8,53.6666666666667,10,0.63125,0.333333333333333,3721,36.17021,0.5366667,0.3617021,0,33.333332,81.818184,33.333332,90.90909,0,0.28801113,0.6666667,0.3030303,18,0.54545456,0.5366667,36.17021,0.3617021,0.7624472,0,58,8,-0.332,0.26,0.592,-0.8384294,0.13277087,3
Fannin,Paul,AZ,0,0,4,0,0,1,0,32,1,1,1,0,2,0,0,93,34,10804,1972,0,0,1964,0,0,0,56,0.6449999809265137,0,0,5,0,0,0,0,38,0,2,1,1,0.425191193819046,NA,0.7709999680519104,1,0,0,0.9585087895393372,4,0.5048108696937561,2,93.10804,10804,245,200,118,38,51,64,21,1.80952380952381,7.99319727891156,4,93,93.10804,117,34,51,63,20,1.85,8.39285714285714,4,0.5,0.75,3136,43.22034,0.079931974,0.4322034,0,5.263158,50,100,97.36842,0,0.0063891206,0.1904762,0.10526316,17,0.4473684,0.08392857,43.589745,0.43589744,-1.4958935,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.39715523,1
Goldwater,Barry,AZ,0,0,6,0,0,0,0,13,0,0,1,0,2,1,1,93,37,3658,1972,0,0,1968,0,0,0,57,0.5659999847412109,0,0,3,0,0,0,0,21,0,1,1,1,0.38618865609169006,NA,0.6919999718666077,1,1,0,0.8795087933540344,4,0.4174612760543823,2,93.3658,3658,275,200,87,21,44,40,6,5.83333333333333,11.025641025641,2,93,93.3658,84,15,44,37,5,6.8,13.2307692307692,2,0.330769230769231,0.833333333333333,3249,50.57471,0.11025641,0.5057471,0,4.7619047,100,100,95.2381,0,0.012156476,0.33333334,0.0952381,15,0.71428573,0.1323077,52.38095,0.5238095,-1.3459532,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.29117,1
Cranston,Alan,CA,7,0,17,1,7,5,0,64,2,4,10,0,14,7,10,93,26,12103,1972,1,1,1968,0,0,0,52,-0.36800000071525574,0,1,3,0,0,0,0,95,0,22,21,10,3.4464426040649414,NA,0.2419999986886978,0,1,0,0.05449119955301285,43,0.9429451823234558,3,93.12103,12103,185,100,234,94,174,52,65,5.66153846153846,18.0765507943407,23,93,93.12103,232,77,173,51,63,5.80952380952381,18.6504095497166,23,0.2739216334307,0.0793650793650794,2704,22.222221,0.18076551,0.22222221,0,23.157894,95.454544,47.61905,89.47369,0,0.032676168,0.35384616,0.24468085,29,0.30851063,0.1865041,21.98276,0.21982759,-0.9973185,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.8210961,9
Tunney,John,CA,0,0,1,0,0,4,0,35,0,1,3,0,4,1,3,93,99,10777,1972,1,1,1970,0,0,0,54,-0.2930000126361847,0,1,2,0,0,0,0,40,0,7,4,1,0.9632358551025392,NA,0.16700001060962677,0,0,0,0.02050878666341304,43,0.8992703557014465,2,93.10777,10777,705,100,248,40,187,53,30,5.3,21.7994992337098,15,93,93.10777,245,39,185,52,30,5.3,21.7994992337098,15,0.267045454545455,0.04,2916,21.370968,0.21799499,0.21370968,0,17.5,57.142857,25,97.5,0,0.047521815,0.5,0.375,10,0.25,0.21799499,21.22449,0.2122449,-0.81323606,0,58,8,-0.332,0.26,0.592,-0.8384294,-0.6091257,1
